airbox_id,AmbHum,PM1,WBGT,UFP,PM25,Ozon,PM10,Temp,RelHum,AmbTemp,NO2,GPS_lat,GPS_lon,date
37,0.0,9.0,0.0,0.0,10.0,24.7,11.0,8.41,78.22,0.0,18.5,5128.114227,528.348706,2019-01-01 00:00:00
37,0.0,14.0,0.0,0.0,17.0,22.7,22.0,8.29,78.55,0.0,23.8,5128.114227,528.348706,2019-01-01 00:10:00
37,0.0,19.0,0.0,0.0,24.0,17.2,29.0,8.23,79.06,0.0,23.2,5128.119821,528.341213,2019-01-01 00:20:00
37,0.0,22.0,0.0,0.0,29.0,13.2,37.0,8.3,78.8,0.0,23.9,5128.119541,528.337862,2019-01-01 00:30:01
37,0.0,16.0,0.0,0.0,19.0,16.6,23.0,8.27,78.89,0.0,24.8,5128.119541,528.337862,2019-01-01 00:40:00
37,0.0,19.0,0.0,0.0,21.0,15.8,26.0,8.24,79.27,0.0,29.8,5128.120549,528.33712,2019-01-01 00:50:00
37,0.0,18.0,0.0,0.0,20.0,13.5,23.0,8.24,79.34,0.0,31.2,5128.122758,528.331778,2019-01-01 01:00:00
37,0.0,18.0,0.0,0.0,20.0,11.3,23.0,8.21,79.69,0.0,20.3,5128.121557,528.330088,2019-01-01 01:10:00
37,0.0,18.0,0.0,0.0,19.0,10.7,21.0,8.23,79.77,0.0,20.9,5128.121371,528.329225,2019-01-01 01:20:00
37,0.0,17.0,0.0,0.0,18.0,10.9,23.0,8.22,79.79,0.0,21.4,5128.119693,528.337394,2019-01-01 01:30:00
37,0.0,16.0,0.0,0.0,17.0,12.1,17.0,8.2,79.94,0.0,21.5,5128.118138,528.339159,2019-01-01 01:40:00
37,0.0,15.0,0.0,0.0,16.0,13.7,17.0,8.16,79.98,0.0,23.0,5128.118138,528.339159,2019-01-01 01:50:00
37,0.0,14.0,0.0,0.0,15.0,14.9,16.0,8.18,80.0,0.0,25.6,5128.117975,528.346279,2019-01-01 02:00:00
37,0.0,14.0,0.0,0.0,15.0,15.9,15.0,8.16,80.08,0.0,24.9,5128.121007,528.344982,2019-01-01 02:10:00
37,0.0,13.0,0.0,0.0,14.0,17.3,15.0,8.08,80.26,0.0,25.9,5128.121007,528.344982,2019-01-01 02:20:00
37,0.0,13.0,0.0,0.0,14.0,18.3,16.0,8.13,79.92,0.0,29.1,5128.121007,528.344982,2019-01-01 02:30:00
37,0.0,12.0,0.0,0.0,13.0,20.1,15.0,8.12,79.82,0.0,27.8,5128.121007,528.344982,2019-01-01 02:40:00
37,0.0,12.0,0.0,0.0,13.0,21.6,14.0,8.07,79.78,0.0,22.6,5128.121007,528.344982,2019-01-01 02:50:00
37,0.0,12.0,0.0,0.0,12.0,23.6,14.0,8.09,79.4,0.0,22.7,5128.121007,528.344982,2019-01-01 03:00:01
37,0.0,11.0,0.0,0.0,12.0,23.4,14.0,8.09,78.92,0.0,18.5,5128.121007,528.344982,2019-01-01 03:10:00
37,0.0,10.0,0.0,0.0,11.0,26.3,14.0,8.13,78.35,0.0,22.0,5128.121007,528.344982,2019-01-01 03:20:00
37,0.0,10.0,0.0,0.0,10.0,26.5,14.0,8.1,78.21,0.0,35.8,5128.11809,528.343953,2019-01-01 03:30:00
37,0.0,9.0,0.0,0.0,9.0,28.9,12.0,8.07,78.02,0.0,26.5,5128.11809,528.343953,2019-01-01 03:40:00
37,0.0,9.0,0.0,0.0,9.0,27.1,12.0,8.12,77.83,0.0,20.4,5128.11809,528.343953,2019-01-01 03:50:00
37,0.0,8.0,0.0,0.0,9.0,29.4,11.0,8.15,77.56,0.0,17.5,5128.11809,528.343953,2019-01-01 04:00:00
37,0.0,8.0,0.0,0.0,9.0,28.8,10.0,8.16,77.46,0.0,22.3,5128.11809,528.343953,2019-01-01 04:10:00
37,0.0,8.0,0.0,0.0,9.0,27.4,12.0,8.15,77.25,0.0,21.8,5128.11809,528.343953,2019-01-01 04:20:00
37,0.0,9.0,0.0,0.0,9.0,26.4,13.0,8.15,77.33,0.0,18.9,5128.11809,528.343953,2019-01-01 04:30:00
37,0.0,0.0,0.0,0.0,0.0,27.4,0.0,8.18,76.85,0.0,27.1,5128.11809,528.343953,2019-01-01 04:40:00
37,0.0,8.0,0.0,0.0,9.0,25.7,11.0,8.15,76.82,0.0,21.2,5128.115902,528.342539,2019-01-01 04:50:00
37,0.0,7.0,0.0,0.0,8.0,26.7,11.0,8.15,76.62,0.0,20.3,5128.115902,528.342539,2019-01-01 05:00:00
37,0.0,7.0,0.0,0.0,8.0,26.6,9.0,8.12,76.46,0.0,22.1,5128.115902,528.342539,2019-01-01 05:10:00
37,0.0,7.0,0.0,0.0,8.0,27.9,10.0,8.12,76.4,0.0,23.1,5128.115902,528.342539,2019-01-01 05:20:01
37,0.0,8.0,0.0,0.0,8.0,27.7,9.0,8.03,76.71,0.0,19.8,5128.115902,528.342539,2019-01-01 05:30:00
37,0.0,8.0,0.0,0.0,8.0,25.8,10.0,8.05,76.18,0.0,18.7,5128.115902,528.342539,2019-01-01 05:40:00
37,0.0,8.0,0.0,0.0,9.0,27.8,12.0,8.06,76.13,0.0,32.9,5128.115902,528.342539,2019-01-01 05:50:00
37,0.0,8.0,0.0,0.0,10.0,27.7,13.0,8.03,75.97,0.0,23.5,5128.115902,528.342539,2019-01-01 06:00:00
37,0.0,8.0,0.0,0.0,9.0,27.6,12.0,7.94,76.2,0.0,25.1,5128.115902,528.342539,2019-01-01 06:10:00
37,0.0,9.0,0.0,0.0,9.0,26.0,11.0,7.98,75.85,0.0,26.2,5128.115902,528.342539,2019-01-01 06:20:00
37,0.0,8.0,0.0,0.0,9.0,27.1,13.0,8.06,75.44,0.0,27.4,5128.115902,528.342539,2019-01-01 06:30:00
37,0.0,8.0,0.0,0.0,9.0,27.3,13.0,8.04,75.27,0.0,25.6,5128.115902,528.342539,2019-01-01 06:40:00
37,0.0,8.0,0.0,0.0,8.0,28.4,12.0,8.06,75.25,0.0,25.1,5128.115902,528.342539,2019-01-01 06:50:00
37,0.0,7.0,0.0,0.0,8.0,28.2,11.0,8.09,74.95,0.0,21.3,5128.136026,528.340427,2019-01-01 07:00:00
37,0.0,8.0,0.0,0.0,9.0,29.2,13.0,8.07,75.0,0.0,25.4,5128.136026,528.340427,2019-01-01 07:10:00
37,0.0,7.0,0.0,0.0,8.0,28.8,12.0,8.09,74.85,0.0,22.5,5128.136026,528.340427,2019-01-01 07:20:00
37,0.0,7.0,0.0,0.0,8.0,28.5,11.0,8.09,74.78,0.0,21.2,5128.136026,528.340427,2019-01-01 07:30:00
37,0.0,6.0,0.0,0.0,7.0,30.9,8.0,8.11,74.57,0.0,24.1,5128.136026,528.340427,2019-01-01 07:40:00
37,0.0,6.0,0.0,0.0,7.0,31.3,11.0,8.13,74.37,0.0,17.0,5128.136026,528.340427,2019-01-01 07:50:00
37,0.0,6.0,0.0,0.0,7.0,34.5,10.0,8.13,74.06,0.0,17.1,5128.136026,528.340427,2019-01-01 08:00:01
37,0.0,6.0,0.0,0.0,7.0,33.4,11.0,8.12,74.21,0.0,22.0,5128.136026,528.340427,2019-01-01 08:10:00
37,0.0,5.0,0.0,0.0,8.0,34.9,12.0,8.14,74.17,0.0,28.4,5128.136026,528.340427,2019-01-01 08:20:00
37,0.0,5.0,0.0,0.0,7.0,38.8,12.0,8.24,73.67,0.0,19.0,5128.136026,528.340427,2019-01-01 08:30:00
37,0.0,6.0,0.0,0.0,8.0,39.7,13.0,8.2,73.84,0.0,22.3,5128.136026,528.340427,2019-01-01 08:40:00
37,0.0,5.0,0.0,0.0,7.0,42.4,10.0,8.19,73.91,0.0,20.5,5128.136026,528.340427,2019-01-01 08:50:00
37,0.0,5.0,0.0,0.0,6.0,42.6,9.0,8.25,73.47,0.0,23.0,5128.120337,528.341663,2019-01-01 09:00:00
37,0.0,5.0,0.0,0.0,6.0,43.3,13.0,8.28,73.62,0.0,24.8,5128.120337,528.341663,2019-01-01 09:10:00
37,0.0,4.0,0.0,0.0,7.0,46.3,11.0,8.21,74.8,0.0,15.1,5128.120337,528.341663,2019-01-01 09:20:00
37,0.0,4.0,0.0,0.0,7.0,52.5,15.0,8.12,76.3,0.0,16.8,5128.120337,528.341663,2019-01-01 09:30:00
37,0.0,5.0,0.0,0.0,7.0,56.4,11.0,7.85,78.42,0.0,14.1,5128.125843,528.331617,2019-01-01 09:40:00
37,0.0,4.0,0.0,0.0,7.0,52.7,11.0,7.98,78.18,0.0,22.9,5128.124496,528.337858,2019-01-01 09:50:00
37,0.0,5.0,0.0,0.0,7.0,50.7,12.0,7.98,78.38,0.0,19.4,5128.124496,528.337858,2019-01-01 10:00:00
37,0.0,4.0,0.0,0.0,7.0,50.5,12.0,7.91,79.02,0.0,23.3,5128.124496,528.337858,2019-01-01 10:10:00
37,0.0,4.0,0.0,0.0,7.0,53.2,11.0,7.89,79.62,0.0,19.1,5128.124496,528.337858,2019-01-01 10:20:00
37,0.0,4.0,0.0,0.0,7.0,54.9,10.0,7.89,80.11,0.0,18.0,5128.114272,528.306433,2019-01-01 10:30:00
37,0.0,4.0,0.0,0.0,7.0,59.1,12.0,7.87,80.78,0.0,22.0,5128.117122,528.351778,2019-01-01 10:40:00
37,0.0,4.0,0.0,0.0,6.0,58.8,12.0,7.8,81.31,0.0,18.7,5128.117122,528.351778,2019-01-01 10:50:00
