no2,date,no2_rivm
19.57845778,2019/1/1 0:00,11.08045455
29.13819444,2019/1/2 0:00,35.74888889
38.54930556,2019/1/3 0:00,34.90958333
34.51041667,2019/1/4 0:00,33.59375
25.35174825,2019/1/5 0:00,17.50041667
26.52083333,2019/1/6 0:00,20.75125
32.77430556,2019/1/7 0:00,35.52625
22.42752308,2019/1/8 0:00,12.63125
26.81736111,2019/1/9 0:00,17.16583333
39.09496403,2019/1/10 0:00,38.27916667
30.21041667,2019/1/11 0:00,29.01583333
22.45,2019/1/12 0:00,17.485
40.20217391,2019/1/18 0:00,45.225
37.24375,2019/1/19 0:00,38.08375
40.02826444,2019/1/20 0:00,41.36375
47.90699301,2019/1/21 0:00,57.275
40.26458333,2019/1/22 0:00,39.32375
32.2951049,2019/1/23 0:00,34.04208333
35.06736111,2019/1/24 0:00,30.01041667
39.53680556,2019/1/25 0:00,37.12666667
27.78041958,2019/1/26 0:00,22.22958333
21.45069444,2019/1/27 0:00,9.38125
26.06180556,2019/1/28 0:00,17.58375
30.45833333,2019/1/29 0:00,25.43166667
37.56267606,2019/1/30 0:00,37.72625
41.2,2019/1/31 0:00,39.99791667
