airbox_id,AmbHum,PM1,WBGT,UFP,PM25,Ozon,PM10,Temp,RelHum,AmbTemp,NO2,GPS_lat,GPS_lon,date
25,0.0,10.0,0.0,18375.0,10.0,34.7,13.0,4.19,88.84,0.0,5.2,5126.177685,528.204407,2019-01-01 00:00:00
25,0.0,20.0,0.0,47040.0,37.0,17.3,59.0,4.38,88.22,0.0,6.7,5126.180594,528.203905,2019-01-01 00:10:00
25,0.0,29.0,0.0,245245.0,55.0,7.7,78.0,4.4,88.18,0.0,11.6,5126.180594,528.203905,2019-01-01 00:20:00
25,0.0,28.0,0.0,245490.0,42.0,6.1,53.0,4.4,88.34,0.0,12.7,5126.180594,528.203905,2019-01-01 00:30:00
25,0.0,27.0,0.0,110495.0,41.0,4.3,48.0,4.52,87.99,0.0,14.8,5126.179189,528.208042,2019-01-01 00:40:00
25,0.0,26.0,0.0,107800.0,36.0,4.0,45.0,4.62,87.88,0.0,14.8,5126.179189,528.208042,2019-01-01 00:50:00
25,0.0,21.0,0.0,73990.0,25.0,4.8,28.0,4.62,88.1,0.0,11.2,5126.175971,528.204463,2019-01-01 01:00:00
25,0.0,21.0,0.0,63945.0,25.0,5.1,30.0,4.7,87.95,0.0,6.3,5126.174008,528.204373,2019-01-01 01:10:00
25,0.0,20.0,0.0,66640.0,23.0,5.1,28.0,4.72,88.07,0.0,10.6,5126.174008,528.204373,2019-01-01 01:20:01
25,0.0,18.0,0.0,52675.0,20.0,6.5,22.0,4.66,88.25,0.0,9.4,5126.176103,528.203899,2019-01-01 01:30:00
25,0.0,17.0,0.0,41405.0,19.0,6.9,22.0,4.72,88.07,0.0,3.4,5126.183543,528.213055,2019-01-01 01:40:00
25,0.0,15.0,0.0,42385.0,16.0,7.5,19.0,4.67,88.23,0.0,13.3,5126.184877,528.214009,2019-01-01 01:50:00
25,0.0,14.0,0.0,43855.0,15.0,9.4,19.0,4.63,88.34,0.0,16.3,5126.184776,528.214714,2019-01-01 02:00:00
25,0.0,12.0,0.0,37730.0,13.0,12.8,18.0,4.51,88.61,0.0,9.8,5126.184469,528.213786,2019-01-01 02:10:00
25,0.0,11.0,0.0,23520.0,12.0,17.6,14.0,4.27,89.41,0.0,11.8,5126.184469,528.213786,2019-01-01 02:20:00
25,0.0,10.0,0.0,17395.0,11.0,23.2,15.0,4.27,89.39,0.0,10.7,5126.185322,528.215232,2019-01-01 02:30:00
25,0.0,9.0,0.0,15435.0,10.0,25.6,13.0,4.22,89.54,0.0,11.3,5126.182937,528.210012,2019-01-01 02:40:00
25,0.0,9.0,0.0,15190.0,10.0,29.5,12.0,4.19,89.54,0.0,12.5,5126.183853,528.211071,2019-01-01 02:50:00
25,0.0,9.0,0.0,11025.0,9.0,30.9,12.0,4.36,88.92,0.0,9.5,5126.183853,528.211071,2019-01-01 03:00:00
25,0.0,7.0,0.0,9065.0,8.0,35.0,10.0,4.37,88.47,0.0,0.0,5126.181544,528.210445,2019-01-01 03:10:00
25,0.0,7.0,0.0,8085.0,7.0,42.4,8.0,4.34,88.13,0.0,5.2,5126.181544,528.210445,2019-01-01 03:20:00
25,0.0,7.0,0.0,8330.0,7.0,38.5,10.0,4.44,87.61,0.0,14.0,5126.181544,528.210445,2019-01-01 03:30:00
25,0.0,6.0,0.0,8575.0,6.0,38.6,10.0,4.5,87.23,0.0,10.9,5126.181544,528.210445,2019-01-01 03:40:00
25,0.0,6.0,0.0,11025.0,7.0,42.5,10.0,4.42,87.15,0.0,11.8,5126.178518,528.202533,2019-01-01 03:50:01
25,0.0,6.0,0.0,9800.0,7.0,42.6,8.0,4.44,86.72,0.0,11.1,5126.178518,528.202533,2019-01-01 04:00:00
25,0.0,7.0,0.0,8575.0,8.0,38.6,10.0,4.51,86.51,0.0,8.7,5126.178518,528.202533,2019-01-01 04:10:00
25,0.0,7.0,0.0,9310.0,8.0,38.6,9.0,4.54,86.06,0.0,10.6,5126.178518,528.202533,2019-01-01 04:20:00
25,0.0,6.0,0.0,9555.0,7.0,50.3,11.0,4.38,86.17,0.0,10.5,5126.184439,528.214187,2019-01-01 04:30:00
25,0.0,0.0,0.0,9065.0,0.0,47.6,0.0,4.49,85.51,0.0,10.1,5126.184439,528.214187,2019-01-01 04:40:00
25,0.0,5.0,0.0,9065.0,6.0,47.8,8.0,4.61,84.73,0.0,14.3,5126.184439,528.214187,2019-01-01 04:50:00
25,0.0,7.0,0.0,7840.0,7.0,50.6,9.0,4.52,84.37,0.0,9.0,5126.184439,528.214187,2019-01-01 05:00:00
25,0.0,6.0,0.0,7840.0,6.0,57.4,7.0,4.43,84.35,0.0,14.2,5126.184439,528.214187,2019-01-01 05:10:00
25,0.0,6.0,0.0,7350.0,6.0,53.9,9.0,4.52,83.93,0.0,4.1,5126.184439,528.214187,2019-01-01 05:20:00
25,0.0,6.0,0.0,7105.0,7.0,50.6,9.0,4.51,83.64,0.0,13.9,5126.184439,528.214187,2019-01-01 05:30:00
25,0.0,7.0,0.0,8330.0,7.0,50.5,8.0,4.49,83.35,0.0,12.2,5126.180256,528.206847,2019-01-01 05:40:00
25,0.0,6.0,0.0,8085.0,7.0,53.7,11.0,4.42,83.4,0.0,7.7,5126.180256,528.206847,2019-01-01 05:50:00
25,0.0,7.0,0.0,8085.0,7.0,53.5,11.0,4.33,83.38,0.0,14.2,5126.180256,528.206847,2019-01-01 06:00:00
25,0.0,7.0,0.0,8575.0,7.0,57.0,10.0,4.25,83.47,0.0,11.0,5126.180256,528.206847,2019-01-01 06:10:01
25,0.0,6.0,0.0,8330.0,6.0,56.6,7.0,4.07,83.84,0.0,11.3,5126.180256,528.206847,2019-01-01 06:20:00
25,0.0,6.0,0.0,7840.0,7.0,60.9,9.0,4.13,83.86,0.0,10.6,5126.180256,528.206847,2019-01-01 06:30:00
25,0.0,6.0,0.0,7595.0,6.0,61.0,9.0,4.16,83.43,0.0,9.1,5126.18102,528.205251,2019-01-01 06:40:00
